child_s_first_name,count,rank_by_name_count
Emma,490,1.0
Olivia,450,2.0
Sophia,445,3.0
Mia,435,4.0
Isabella,398,5.0
Leah,355,6.0
Ava,349,7.0
Amelia,293,8.0
Chloe,290,9.0
Charlotte,283,10.0
